Rainfall,Year,Month
18.5,1984,Oct
26.4909,1984,Nov
17.4358,1984,Dec
12.8977,1985,Jan
3.45828,1985,Feb
43.7935,1985,Mar
108.654,1985,Apr
121.08,1985,May
60.4907,1985,Jun
140.897,1985,Jul
149.551,1985,Aug
99.7129,1985,Sep
40.2938,1985,Oct
17.6008,1985,Nov
4.33023,1985,Dec
0.50267,1986,Jan
17.3976,1986,Feb
32.0897,1986,Mar
105.095,1986,Apr
75.601,1986,May
125.004,1986,Jun
109.189,1986,Jul
98.9553,1986,Aug
75.2272,1986,Sep
42.001,1986,Oct
12.7838,1986,Nov
9.04853,1986,Dec
5.85282,1987,Jan
14.1627,1987,Feb
66.6834,1987,Mar
72.1952,1987,Apr
190.472,1987,May
60.7577,1987,Jun
77.4991,1987,Jul
103.512,1987,Aug
56.4966,1987,Sep
61.7583,1987,Oct
22.4129,1987,Nov
4.77084,1987,Dec
14.946,1988,Jan
24.2914,1988,Feb
14.6085,1988,Mar
111.114,1988,Apr
48.6287,1988,May
65.7245,1988,Jun
148.817,1988,Jul
149.827,1988,Aug
129.159,1988,Sep
78.6699,1988,Oct
9.05385,1988,Nov
4.62675,1988,Dec
7.24871,1989,Jan
15.8528,1989,Feb
64.6329,1989,Mar
116.869,1989,Apr
73.9328,1989,May
61.2698,1989,Jun
124.891,1989,Jul
120.342,1989,Aug
96.6221,1989,Sep
78.3983,1989,Oct
25.6267,1989,Nov
35.0047,1989,Dec
11.8269,1990,Jan
45.9388,1990,Feb
55.7431,1990,Mar
105.478,1990,Apr
47.0029,1990,May
54.1019,1990,Jun
122.852,1990,Jul
117.012,1990,Aug
92.472,1990,Sep
43.7077,1990,Oct
23.3533,1990,Nov
9.50281,1990,Dec
11.7904,1991,Jan
22.3855,1991,Feb
63.5061,1991,Mar
63.8239,1991,Apr
86.6699,1991,May
72.4847,1991,Jun
135.871,1991,Jul
124.138,1991,Aug
91.7425,1991,Sep
37.3334,1991,Oct
10.3695,1991,Nov
17.42,1991,Dec
19.1296,1992,Jan
15.7751,1992,Feb
20.4513,1992,Mar
63.6122,1992,Apr
73.5028,1992,May
62.6839,1992,Jun
101.655,1992,Jul
140.896,1992,Aug
96.026,1992,Sep
84.6037,1992,Oct
47.0587,1992,Nov
22.1826,1992,Dec
21.8892,1993,Jan
28.9759,1993,Feb
20.9853,1993,Mar
127.918,1993,Apr
127.748,1993,May
79.6071,1993,Jun
114.875,1993,Jul
136.147,1993,Aug
80.2908,1993,Sep
81.7678,1993,Oct
9.00837,1993,Nov
3.74071,1993,Dec
2.38865,1994,Jan
2.25701,1994,Feb
22.1823,1994,Mar
68.1729,1994,Apr
92.9358,1994,May
89.2994,1994,Jun
150.706,1994,Jul
183.382,1994,Aug
96.6629,1994,Sep
44.0393,1994,Oct
58.4175,1994,Nov
5.63755,1994,Dec
0.85005,1995,Jan
13.9942,1995,Feb
47.782,1995,Mar
98.8574,1995,Apr
79.8546,1995,May
56.2036,1995,Jun
122.34,1995,Jul
134.452,1995,Aug
77.675,1995,Sep
44.5976,1995,Oct
13.6406,1995,Nov
22.4123,1995,Dec
16.8771,1996,Jan
8.04536,1996,Feb
79.1423,1996,Mar
98.0933,1996,Apr
139.151,1996,May
100.028,1996,Jun
122.399,1996,Jul
126.791,1996,Aug
79.5868,1996,Sep
29.3955,1996,Oct
33.5741,1996,Nov
5.8816,1996,Dec
13.6142,1997,Jan
1.03472,1997,Feb
40.7402,1997,Mar
102.433,1997,Apr
74.2697,1997,May
91.3913,1997,Jun
114.885,1997,Jul
107.085,1997,Aug
61.1459,1997,Sep
149.447,1997,Oct
83.7367,1997,Nov
